95,81,191,81
81,81,90,81
206,78,206,85
218,81,277,81
285,81,307,81
310,81,343,81
346,81,359,81
378,81,393,81
403,81,411,81
456,81,477,81
486,81,520,81
525,81,556,81
559,81,576,81
593,81,608,81
614,81,623,81
655,81,663,81
746,84,759,84
344,97,362,97
237,107,274,107
304,107,323,107
671,105,691,105
607,107,643,107
195,103,195,112
294,104,294,113
411,148,411,311
279,149,279,312
315,149,315,312
724,149,724,310
748,149,748,310
772,149,772,311
111,150,111,312
123,150,123,312
147,150,147,312
159,150,159,312
171,150,171,312
183,150,183,312
303,150,303,312
327,150,327,313
363,150,363,312
386,150,386,311
399,150,399,312
423,150,423,311
473,150,473,311
485,150,485,312
509,150,509,309
521,150,521,311
593,150,593,311
605,150,605,311
628,150,628,313
652,150,652,311
665,150,665,312
688,150,688,311
700,150,700,311
712,150,712,311
736,150,736,311
760,150,760,310
135,151,135,312
195,151,195,312
207,151,207,312
219,151,219,312
231,151,231,312
243,151,243,312
255,151,255,312
267,151,267,312
291,151,291,312
339,151,339,313
351,151,351,312
375,151,375,312
461,151,461,312
497,151,497,311
533,151,533,311
544,151,544,311
557,151,557,311
568,151,568,312
580,151,580,311
616,151,616,311
640,151,640,311
676,151,676,311
124,320,124,642
256,320,256,643
292,320,292,643
303,320,303,642
315,320,315,643
327,320,327,642
339,320,339,641
364,320,364,643
545,320,545,483
582,320,582,643
641,320,641,642
677,320,677,641
749,320,749,641
112,321,112,643
136,321,136,643
148,321,148,643
160,321,160,642
184,321,184,643
196,321,196,642
220,321,220,643
231,321,231,642
243,321,243,642
267,321,267,642
279,321,279,642
351,321,351,642
375,321,375,642
387,321,387,642
399,321,399,642
461,321,461,483
497,321,497,483
509,321,509,482
521,321,521,483
557,321,557,483
569,321,569,641
593,321,593,642
605,321,605,641
617,321,617,641
629,321,629,643
653,321,653,642
665,321,665,642
689,321,689,641
713,321,713,641
725,321,725,643
737,321,737,642
761,321,761,641
773,321,773,641
171,322,171,642
208,322,208,643
411,322,411,642
473,322,473,482
485,322,485,483
533,322,533,483
701,322,701,642
423,324,423,642
470,592,490,592
499,600,510,600
457,604,476,604
506,612,517,612
506,629,516,629
